Date,log_returns,ewma_volatility
2025-05-06 04:30:00,0.0012692512228919734,0.001644355050669965
2025-05-06 04:45:00,-7.146430361071725e-05,0.0016242934589269144
2025-05-06 05:00:00,-0.000947384485492218,0.0015749082243329065
2025-05-06 05:15:00,-0.00035773695983128085,0.0015444636615887808
2025-05-06 05:30:00,-3.578073565573199e-05,0.001499974821720648
2025-05-06 05:45:00,0.001233696148750355,0.0014543059559497032
2025-05-06 06:00:00,0.0,0.0014420214408761823
2025-05-06 06:15:00,7.14719651520067e-05,0.001398091658579588
2025-05-06 06:30:00,8.933277357420665e-05,0.0013556132055828442
2025-05-06 06:45:00,0.0010178299674275092,0.001314497909480128
2025-05-06 07:00:00,-1.7847740922666225e-05,0.0012986104648206012
2025-05-06 07:15:00,-0.0022334798846243833,0.0012590571486205246
2025-05-06 07:30:00,0.00044709522978808694,0.00133769105289084
2025-05-06 07:45:00,-0.0008764947926731504,0.001301555208385379
2025-05-06 08:00:00,0.0007137752662390988,0.0012800381987040817
2025-05-06 08:15:00,-0.0007674631784185774,0.0012532982209254014
2025-05-06 08:30:00,-0.0008325314358623893,0.0012295735149042493
2025-05-06 08:45:00,0.0011576570938871893,0.001209432297544057
2025-05-06 09:00:00,-0.0010322854563693188,0.0012063884491422215
2025-05-06 09:15:00,-0.0007793499541217276,0.0011966568015167277
2025-05-06 09:30:00,0.002219995182729945,0.0011758024628476685
2025-05-06 09:45:00,-0.00318830985304323,0.0012630373954958633
2025-05-06 10:00:00,0.002455361316169476,0.0014524003710466576
2025-05-06 10:15:00,0.0033048377916580266,0.0015312174173264784
2025-05-06 10:30:00,0.00010701863918165152,0.0016909365281188998
2025-05-06 10:45:00,0.0001248406054608939,0.0016396333556460507
2025-05-06 11:00:00,0.0003209471534573866,0.001589977609621158
2025-05-06 11:15:00,0.001282759533803014,0.0015435438107386389
2025-05-06 11:30:00,-0.0016126233565279785,0.0015291514533306164
2025-05-06 11:45:00,-0.0006689768917288495,0.0015342878356393633
2025-05-06 12:00:00,0.004575770685120058,0.0014965455615301188
2025-05-06 12:15:00,-0.00418396351774427,0.001833447665585144
2025-05-06 12:30:00,-0.0008023345222948114,0.0020518702602655313
2025-05-06 12:45:00,-0.0016616790351385794,0.001999046200617778
2025-05-06 13:00:00,0.0017866399850044996,0.0019804255104449793
2025-05-06 13:15:00,-0.0008750547467554619,0.001969336191826321
2025-05-06 13:30:00,-0.001958251433897069,0.001921335780867033
2025-05-06 13:45:00,-0.0003312251331683043,0.0019235706986152424
2025-05-06 14:00:00,0.0010559568575852615,0.001866734952784515
2025-05-06 14:15:00,0.0026082621618231266,0.0018282560307614033
2025-05-06 14:30:00,-0.0003768841575530477,0.0018841843852082018
2025-05-06 14:45:00,0.0013576872463522578,0.0018291157015638822
2025-05-06 15:00:00,-0.0007845654979670377,0.0018043068680963156
2025-05-06 15:15:00,0.0003299491284050379,0.0017598648979509702
2025-05-06 15:30:00,0.0005437326039254318,0.0017081653834268198
2025-05-06 15:45:00,-0.004089693080211773,0.0016614746303160108
2025-05-06 16:00:00,-7.158452345657554e-05,0.0018969458188816638
2025-05-06 16:15:00,-0.0031188969339653073,0.0018392407928344181
2025-05-06 16:30:00,0.001399329268003635,0.0019399714888282509
2025-05-06 16:45:00,0.00016133513824679487,0.0019118491987696114
2025-05-06 17:00:00,-0.00021511930240893527,0.0018540277934582941
2025-05-06 17:15:00,-0.0003137986245506524,0.001798318796608937
2025-05-06 17:30:00,0.0,0.0017452282484503243
2025-05-06 17:45:00,-0.00019119646176210772,0.0016920615653213233
2025-05-06 18:00:00,0.009393783843928055,0.001641182916559519
2025-05-06 18:15:00,0.0018456524654981328,0.002797581630275876
2025-05-06 18:30:00,-0.0024677917558844934,0.0027497747509164397
2025-05-06 18:45:00,0.0019507986570671888,0.002733676147416808
2025-05-06 19:00:00,-0.0012398139132884587,0.002693128865509999
2025-05-06 19:15:00,0.0003375407523676027,0.0026286868990892777
2025-05-06 19:30:00,0.00037293885123116706,0.0025499472838095144
2025-05-06 19:45:00,0.00035505059843947916,0.0024739527651918753
2025-05-06 20:00:00,-0.008198228059465568,0.0024001623701290766
2025-05-07 04:00:00,0.005300886075116281,0.0030737256282409343
2025-05-07 04:15:00,0.00040933643576791394,0.00325067461834071
2025-05-07 04:30:00,0.0003558085787406176,0.0031532405117472217
2025-05-07 04:45:00,0.0002312077055820768,0.0030584221693727588
2025-05-07 05:00:00,7.113007916212239e-05,0.002965791094519531
2025-05-07 05:15:00,-0.0007471182928996595,0.0028754939361162234
2025-05-07 05:30:00,0.00040920534672912317,0.0027938948796720716
2025-05-07 05:45:00,-0.0003024399813123786,0.0027106354649206986
2025-05-07 06:00:00,0.00035580224886573304,0.0026291025356198023
2025-05-07 06:15:00,-0.00037359568486770563,0.0025504989803276142
2025-05-07 06:30:00,0.000800391345143857,0.0024744932349631053
2025-05-07 06:45:00,-0.00032007966700484743,0.002407107671461407
2025-05-07 07:00:00,0.0009421636684037917,0.002335094079706779
2025-05-07 07:15:00,-0.0006220840013988817,0.002275689970558458
2025-05-07 07:30:00,-0.0008537735528667219,0.002211618923291741
2025-05-07 07:45:00,0.00046255115572965493,0.002154418372304895
2025-05-07 08:00:00,-0.002635845441380228,0.0020918567412347797
2025-05-07 08:15:00,-1.783341804249817e-05,0.002128420451825514
2025-05-07 08:30:00,0.0006950895388106815,0.0020635848139614037
2025-05-07 08:45:00,-0.0004989394298534679,0.0020079512731551123
2025-05-07 09:00:00,-0.0018203238777423913,0.001950613403451097
